0	0
10	0
12	0
12	1	(9Z)
13	0
13	1	(9Z)
14	0
14	1	(9Z)
15	0
15	1	(9Z)
16	0
16	1	(9Z)
16	2	(9Z,12Z)
17	0
17	1	(9Z)
18	0
18	1	(9Z)
18	2	(9Z,12Z)
18	3	(9Z,12Z,15Z)
19	0
19	1	(9Z)
20	1	(9Z)
20	2	(9Z,12Z)
20	3	(9Z,12Z,15Z)
22	1	(9Z)
22	2	(9Z,12Z)
22	3	(9Z,12Z,15Z)
24	1	(9Z)
24	2	(9Z,12Z)
24	3	(9Z,12Z,15Z)
